fuente,titulo,resumen,fecha,enlace,categoria,sentimiento
BBC Mundo,Cómo Putin se obsesionó con controlar hasta el último detalle de su imagen pública,"De enigmático agente de la KGB a gobernante en tiempos de guerra, así es cómo Vladimir Putin ha reinventado repetidamente su imagen pública y a sí mismo.","Fri, 05 Jun 2026 03:08:30 GMT",https://www.bbc.com/mundo/articles/c3r2e1zg2ppo?at_medium=RSS&at_campaign=rss,General,Neutral
BBC Mundo,"""Super El Niño"": los gráficos que muestran por qué puede ser el fenómeno más extremo en décadas (y cuáles serían sus efectos)",Los científicos temen que los efectos combinados de El Niño y el cambio climático provocado por el ser humano puedan alterar el clima en todo el mundo.,"Thu, 04 Jun 2026 00:00:00 GMT",https://www.bbc.com/mundo/resources/idt-54f4e985-a7fb-48b2-8246-f3be0d699402?at_medium=RSS&at_campaign=rss,General,Positiva
BBC Mundo,Qué supone para Cuba la retirada de las principales multinacionales hoteleras que operaban en el país,"Las sanciones de EE.UU. contra el conglomerado militar Gaesa precipitan la salida de cadenas como Meliá, Iberostar y Blue Diamond, en un momento en el que el turismo cubano atraviesa una de sus peores crisis.","Thu, 04 Jun 2026 12:33:46 GMT",https://www.bbc.com/mundo/articles/c1423m4m482o?at_medium=RSS&at_campaign=rss,General,Neutral
BBC Mundo,"Muere ""de tristeza"" a los 56 años Marjane Satrapi, la novelista gráfica y cineasta franco-iraní de ""Persépolis""","La autora e ilustradora franco-iraní alcanzó reconocimiento internacional con ""Persépolis"", una aclamada serie de novelas gráficas que fue adaptada al cine en una película nominada al Oscar.","Thu, 04 Jun 2026 15:29:45 GMT",https://www.bbc.com/mundo/articles/c2020le1k7mo?at_medium=RSS&at_campaign=rss,General,Neutral
BBC Mundo,"El sherpa dado por muerto en el Everest que fue encontrado ""milagrosamente"" cuando descendía por el hielo a rastras",Un equipo encontró al guía arrastrándose hacia el Campamento Base seis días después de su desaparición.,"Thu, 04 Jun 2026 16:36:03 GMT",https://www.bbc.com/mundo/articles/c5y8yj7vj4lo?at_medium=RSS&at_campaign=rss,General,Negativa
BBC Mundo,Cómo el Mundial de fútbol expone la tensa relación que mantienen los 3 países vecinos de Norteamérica,"El torneo tiene lugar tras un periodo de relaciones conflictivas entre EE.UU., Canadá y México.","Thu, 04 Jun 2026 20:33:26 GMT",https://www.bbc.com/mundo/articles/c5yey0vv10lo?at_medium=RSS&at_campaign=rss,General,Neutral
BBC Mundo,Zelensky propone conversaciones cara a cara con Putin en una carta abierta al presidente ruso,El presidente de Ucrania le dijo a su contraparte de Rusia que podrían reunirse en un territorio neutral para alcanzar un acuerdo que ponga fin a la guerra iniciada en 2022.,"Thu, 04 Jun 2026 23:25:59 GMT",https://www.bbc.com/mundo/articles/c8r8rkmll36o?at_medium=RSS&at_campaign=rss,General,Neutral
BBC Mundo,"""A los 10 años me preparé para ser presa política"": Marjane Satrapi, la autora que con 'Persepolis' mostró a través de una niña la transformación de Irán con la revolución islámica",Satrapi fue una de las escritoras iraníes más influyentes de su generación.,"Thu, 04 Jun 2026 21:43:29 GMT",https://www.bbc.com/mundo/articles/clypy9gx9e9o?at_medium=RSS&at_campaign=rss,General,Neutral
BBC Mundo,"Gonzalo Moratorio, el científico que ""blindó"" a Uruguay del covid-19 y ahora lucha por pagarse un costoso tratamiento contra el cáncer","El destacado virólogo Gonzalo Moratorio, que “blindó” a Uruguay de la pandemia de covid-19, habla de su lucha contra un agresivo tumor cerebral y para conseguir pagar un costoso tratamiento experimental.","Thu, 04 Jun 2026 18:13:05 GMT",https://www.bbc.com/mundo/articles/c78k24vex9eo?at_medium=RSS&at_campaign=rss,General,Neutral
BBC Mundo,Por qué el origen de la madre de Kim Jong-un podría poner en peligro la legitimidad del régimen de Corea del Norte,"Muy pocos norcoreanos saben de su existencia, ya que su origen podría poner en peligro la legitimidad del régimen.","Thu, 04 Jun 2026 03:14:36 GMT",https://www.bbc.com/mundo/articles/c2l28qd5vlzo?at_medium=RSS&at_campaign=rss,General,Neutral
El Pais,La directora de la Guardia Civil dice que cortó con Leire Díez cuando esta le pidió que recuperara a un comandante implicado en el ‘caso Koldo’,Mercedes González asegura que mantuvo dos citas con Díez en las que no habló de las investigaciones contra el PSOE y que interrumpió la relación cuando la espía planteó su teoría de la conspiración,"Thu, 04 Jun 2026 20:24:54 GMT",https://elpais.com/espana/2026-06-04/la-directora-de-la-guardia-civil-dice-que-corto-con-leire-diez-cuando-le-pidio-que-recuperara-a-un-comandante-implicado-en-el-caso-koldo.html,General,Neutral
El Pais,Los audios del ‘caso Leire Díez’: “Mi siguiente conversación va a ser con la directora de la Guardia Civil [...] es de mi confianza”,"EL PAÍS accede a las grabaciones del sumario judicial, que expone que la exmilitante socialista se reunió al menos tres veces con la directora del instituto armado","Thu, 04 Jun 2026 08:56:36 GMT",https://elpais.com/espana/2026-06-04/los-audios-del-caso-leire-diez-mi-siguiente-conversacion-va-a-ser-con-la-directora-de-la-guardia-civil-es-de-mi-confianza.html,General,Neutral
El Pais,El juez reclama los movimientos bancarios de seis cuentas del PSOE entre 2024 y 2025,"La petición parte de la UCO, que reclama también un informe fiscal exhaustivo del Partido Socialista y del PSC y que varias empresas remitan “las relaciones comerciales” con ambos","Thu, 04 Jun 2026 18:48:41 GMT",https://elpais.com/espana/2026-06-04/la-uco-pide-al-juez-que-recabe-todos-los-movimientos-bancarios-del-psoe-y-el-psc-en-2024-y-2025.html,General,Neutral
El Pais,David Sánchez niega haber hecho valer su apellido: “No tengo capacidad de influir en nada”,El hermano del presidente califica de “malentendido” el mensaje que intercambió con un amigo sobre la adjudicación a este de un puesto en la Diputación de Badajoz,"Thu, 04 Jun 2026 16:54:24 GMT",https://elpais.com/espana/2026-06-04/david-sanchez-no-tengo-capacidad-de-influir-en-nada.html,General,Neutral
El Pais,"PP, Vox y cuatro acusaciones elevan por sorpresa su petición de pena para David Sánchez a seis años de cárcel","El tribunal ha aceptado el cambio, pese a la frontal oposición de la Fiscalía y las defensas, que consideran que les causa indefensión","Thu, 04 Jun 2026 20:07:47 GMT",https://elpais.com/espana/2026-06-04/pp-vox-y-cuatro-acusaciones-elevan-por-sorpresa-su-peticion-de-pena-de-carcel-para-david-sanchez-a-seis-anos.html,General,Neutral
