velocidad_proyectil,distancia,altura_proyectil,tipo_proyectil,estado_jugador,accion
8.0,268.0,1.0,1,0,0
8.0,252.0,1.0,1,0,0
8.0,236.0,1.0,1,0,0
8.0,220.0,1.0,1,0,0
8.0,204.0,1.0,1,0,0
8.0,188.0,1.0,1,0,0
8.0,172.0,1.0,1,0,0
8.0,156.0,1.0,1,0,0
8.0,140.0,1.0,1,0,0
8.0,124.0,1.0,1,2,2
8.0,108.0,1.0,1,2,2
8.0,92.0,1.0,1,2,2
8.0,76.0,1.0,1,2,2
8.0,60.0,1.0,1,2,2
8.0,44.0,1.0,1,2,2
8.0,28.0,1.0,1,2,2
8.0,12.0,1.0,1,2,2
8.0,-4.0,1.0,1,2,2
8.0,-20.0,1.0,1,2,2
8.0,-36.0,1.0,1,0,0
8.0,-52.0,1.0,1,0,0
8.0,-68.0,1.0,1,0,0
11.0,441.0,0.0,0,0,0
11.0,419.0,0.0,0,0,0
11.0,397.0,0.0,0,0,0
11.0,375.0,0.0,0,0,0
11.0,353.0,0.0,0,0,0
11.0,331.0,0.0,0,0,0
11.0,309.0,0.0,0,0,0
11.0,287.0,0.0,0,0,0
11.0,265.0,0.0,0,0,0
11.0,243.0,0.0,0,0,0
11.0,221.0,0.0,0,0,0
11.0,199.0,0.0,0,0,0
11.0,177.0,0.0,0,0,0
11.0,155.0,0.0,0,0,0
11.0,133.0,0.0,0,1,1
11.0,111.0,0.0,0,1,1
11.0,89.0,0.0,0,1,1
11.0,67.0,0.0,0,1,1
11.0,45.0,0.0,0,1,1
11.0,23.0,0.0,0,1,1
11.0,1.0,0.0,0,1,1
11.0,-21.0,0.0,0,1,1
11.0,-43.0,0.0,0,1,1
11.0,-65.0,0.0,0,1,1
11.0,442.0,0.0,0,0,0
11.0,420.0,0.0,0,0,0
11.0,398.0,0.0,0,0,0
11.0,376.0,0.0,0,0,0
11.0,354.0,0.0,0,0,0
11.0,332.0,0.0,0,0,0
11.0,310.0,0.0,0,0,0
11.0,288.0,0.0,0,0,0
11.0,266.0,0.0,0,0,0
11.0,244.0,0.0,0,0,0
11.0,222.0,0.0,0,0,0
11.0,200.0,0.0,0,0,0
11.0,178.0,0.0,0,0,0
11.0,156.0,0.0,0,1,1
11.0,134.0,0.0,0,1,1
11.0,112.0,0.0,0,1,1
11.0,90.0,0.0,0,1,1
11.0,68.0,0.0,0,1,1
11.0,46.0,0.0,0,1,1
11.0,24.0,0.0,0,1,1
11.0,2.0,0.0,0,1,1
11.0,-20.0,0.0,0,1,1
11.0,-42.0,0.0,0,1,1
11.0,-64.0,0.0,0,1,1
7.0,444.0,0.0,0,0,0
7.0,430.0,0.0,0,0,0
7.0,416.0,0.0,0,0,0
7.0,402.0,0.0,0,0,0
7.0,388.0,0.0,0,0,0
7.0,374.0,0.0,0,0,0
7.0,360.0,0.0,0,0,0
7.0,346.0,0.0,0,0,0
7.0,332.0,0.0,0,0,0
7.0,318.0,0.0,0,0,0
7.0,304.0,0.0,0,0,0
7.0,290.0,0.0,0,0,0
7.0,276.0,0.0,0,0,0
7.0,262.0,0.0,0,0,0
7.0,248.0,0.0,0,0,0
7.0,234.0,0.0,0,0,0
7.0,220.0,0.0,0,0,0
7.0,206.0,0.0,0,0,0
7.0,192.0,0.0,0,0,0
7.0,178.0,0.0,0,0,0
7.0,164.0,0.0,0,0,0
7.0,150.0,0.0,0,1,1
7.0,136.0,0.0,0,1,1
7.0,122.0,0.0,0,1,1
7.0,108.0,0.0,0,1,1
7.0,94.0,0.0,0,1,1
7.0,80.0,0.0,0,1,1
7.0,66.0,0.0,0,1,1
7.0,52.0,0.0,0,1,1
7.0,38.0,0.0,0,1,1
7.0,24.0,0.0,0,1,1
7.0,10.0,0.0,0,1,1
7.0,-4.0,0.0,0,1,1
7.0,-18.0,0.0,0,1,1
7.0,-32.0,0.0,0,1,1
7.0,-46.0,0.0,0,1,1
7.0,-60.0,0.0,0,1,1
7.0,-74.0,0.0,0,1,1
14.0,427.0,1.0,1,0,0
14.0,399.0,1.0,1,0,0
14.0,371.0,1.0,1,0,0
14.0,343.0,1.0,1,0,0
14.0,315.0,1.0,1,0,0
14.0,287.0,1.0,1,0,0
14.0,259.0,1.0,1,0,0
14.0,231.0,1.0,1,0,0
14.0,203.0,1.0,1,0,0
14.0,175.0,1.0,1,2,2
14.0,147.0,1.0,1,2,2
14.0,119.0,1.0,1,2,2
14.0,91.0,1.0,1,2,2
14.0,63.0,1.0,1,2,2
14.0,35.0,1.0,1,2,2
14.0,7.0,1.0,1,2,2
14.0,-21.0,1.0,1,2,2
14.0,-49.0,1.0,1,2,2
14.0,-77.0,1.0,1,2,2
